,
,
,
Local Govt Educ Auth *,Name of School/Institution *
AGEGE,AANUOLUWAPO PRIMARY SCHOOL
AGEGE,AFRICAN CHURCH CENTRAL PRY.SCHOOL
AGEGE,AHMAD MEM.PRY.SCHOOL
AGEGE,AJEGUNLE PRY. SCHL.
AGEGE,AKILO PRY. SCHL.
AGEGE,AMOSUN PRY. SCHL.
AGEGE,A.U.I. PRIMARY SCHOOL OGBA
AGEGE,A.U.I. PRIMARY SCHOOL ONIWAYA
AGEGE,ARAROMI PRIMARY SCHOOL
AGEGE,BISHOP AJANA MEMORIAL PRY. SCHL.
AGEGE,C.A.C.PRIMARY SCHOOL
AGEGE,COMMUNITY PRIMARY SCHOOL
AGEGE,DAIRY FARM PRIMARY SCHOOL
AGEGE,DAROCHA PRIMARY SCHOOL
AGEGE,DISTRICT PRIMARY SCHOOL
AGEGE,DOPEMU PRIMARY SCHOOL
AGEGE,IBIDO PRIMARY SCHOOL
AGEGE,IBUKUN-OLU PRIMARY SCHOOL
AGEGE,IDEAL PRIMARY SCHOOL
AGEGE,IFELODUN PRIMARY SCHOOL
AGEGE,IFEOLUWA PRIMARY SCHOOL
AGEGE,IREPODUN PRIMARY SCHOOL
AGEGE,ISSA WILLIAMS PRIMARY SCHOOL
AGEGE,JIBRIL MARTINS PRIMARY SCHOOL
AGEGE,KEKE PRIMARY SCHOOL
AGEGE,LADOJE PRIMARY SCHOOL
AGEGE,LOCAL GOVT. PRIMARY SCHOOL
AGEGE,METHODIST PRIMARY SCHOOL
AGEGE,MOSES ORIMOLADE PRIMARY SCHOOL
AGEGE,ODUDUWA PRIMARY SCHOOL
AGEGE,OKE KOTO PRIMARY SCHOOL 
AGEGE,OKO OBA PRIMARY SCHOOL   
AGEGE,OKUSANYA PRIMARY SCHOOL
AGEGE,OLUSANYA PRIMARY SCHOOL
AGEGE,ORE OFE PRIMARY SCHOOL
AGEGE,ORILE AGEGE PRIMARY SCHOOL
AGEGE,PROGRESSIVE PRIMARY SCHOOL
AGEGE,SACRED C&S SHILLO PRIMARY SCHOOL
AGEGE,SAKA TINUBU PRIMARY SCHOOL
AGEGE,SALVATION ARMY PRIMARY SCHOOL
AGEGE,SANNGO PRIMARY SCHOOL
AGEGE,ST. PETERS PRIMARY SCHOOL
AGEGE,ST.SAVIOUR PRIMARY SCHOOL
AGEGE,STATE PRIMARY SCHOOL DOPEMU
AGEGE,STATE PRIMARY SCHOOL ILORO
AGEGE,STATE PRIMARY OYEWOLE
AGEGE,STATE PRIMARY SANNGO AGEGE
AGEGE,UNITY PRIMARY SCHOOL
AGEGE,YEWA PRIMARY SCHOOL
AGEGE,ZION A/C PRIMARY SCHOOL
AJEROMI IFELODUN,"AFRICAN PRIMARY SCHOOL, AJEGUNLE"
AJEROMI IFELODUN,AIYETORO PRIMARY SCHOOL
AJEROMI IFELODUN,"AJEGUNLE PRIMARY SCHOOL, A/ORA"
AJEROMI IFELODUN,"AJEGUNLE PRIMARY SCHOOL, OJO RD."
AJEROMI IFELODUN,AJEROMI CENTRAL PRIMARY SCHOOL
AJEROMI IFELODUN,AJEROMI IFELODUN PRIMARY SCHOOL
